Time,gps_header.seq,gps_header.stamp.secs,gps_header.stamp.nsecs,gps_header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,grid
1663939690.2371554,0,48490,0,GPS1_Frame,42.313521666666674,-71.09791333333332,44.7,327107.5937004569,4686718.451799523,19,T
1663939691.2360747,0,48491,0,GPS1_Frame,42.31352666666667,-71.09792333333333,44.7,327106.78324095043,4686719.027333475,19,T
1663939692.2378922,0,48492,0,GPS1_Frame,42.31353166666666,-71.09793333333333,44.7,327105.9727815754,4686719.602867524,19,T
1663939693.2372818,0,48493,0,GPS1_Frame,42.31353833333333,-71.097945,44.8,327105.02952776954,4686720.366859075,19,T
1663939694.2372537,0,48494,0,GPS1_Frame,42.313545000000005,-71.097955,44.7,327104.2236326438,4686721.127463406,19,T
1663939695.2362993,0,48495,0,GPS1_Frame,42.31355,-71.097965,44.6,327103.41317372053,4686721.702997766,19,T
1663939696.2349355,0,48496,0,GPS1_Frame,42.31355666666666,-71.09797833333333,44.6,327102.33256202465,4686722.470377065,19,T
1663939697.2346494,0,48497,0,GPS1_Frame,42.313561666666665,-71.09799,44.5,327101.3847449691,4686723.049299063,19,T
1663939698.2340086,0,48498,0,GPS1_Frame,42.313565000000004,-71.09800166666668,44.2,327100.4323640119,4686723.443151127,19,T
1663939699.239784,0,48499,0,GPS1_Frame,42.31357166666667,-71.09801333333333,44.1,327099.4891113192,4686724.207143457,19,T
1663939700.2370975,0,48500,0,GPS1_Frame,42.31358,-71.09802333333333,44.0,327098.68778133346,4686725.152818529,19,T
1663939701.2381923,0,48501,0,GPS1_Frame,42.313586666666666,-71.098035,43.8,327097.7445290602,4686725.9168111095,19,T
1663939702.2586029,0,48502,0,GPS1_Frame,42.313595,-71.098045,43.6,327096.943199514,4686726.862486395,19,T
1663939703.2375946,0,48503,0,GPS1_Frame,42.31360333333334,-71.098055,43.5,327096.14187018876,4686727.808161782,19,T
1663939704.2373433,0,48504,0,GPS1_Frame,42.313610000000004,-71.09806499999999,43.4,327095.3359768879,4686728.568767195,19,T
1663939705.2383819,0,48505,0,GPS1_Frame,42.31361833333334,-71.09807333333333,43.4,327094.6720062943,4686729.511055234,19,T
1663939706.2378874,0,48506,0,GPS1_Frame,42.31362666666667,-71.09808333333334,43.3,327093.8706775913,4686730.4567309,19,T
1663939707.2567956,0,48507,0,GPS1_Frame,42.313635000000005,-71.09809166666668,43.3,327093.2067073855,4686731.39901909,19,T
1663939708.256088,0,48508,0,GPS1_Frame,42.313643333333324,-71.09810166666666,42.9,327092.40537910623,4686732.3446949385,19,T
1663939709.2565954,0,48509,0,GPS1_Frame,42.313651666666665,-71.09811166666667,42.8,327091.604051048,4686733.290370886,19,T
1663939710.2351038,0,48510,0,GPS1_Frame,42.31366,-71.09812166666667,42.8,327090.8027232087,4686734.236046935,19,T
1663939711.2367733,0,48511,0,GPS1_Frame,42.31367,-71.09813166666666,42.8,327090.0059599392,4686735.366793155,19,T
1663939712.2353094,0,48512,0,GPS1_Frame,42.31368166666666,-71.09814166666666,42.8,327089.21376130346,4686736.682609547,19,T
1663939713.2559593,0,48513,0,GPS1_Frame,42.31369333333334,-71.09815,42.8,327088.5589211331,4686737.995038372,19,T
1663939714.2556717,0,48514,0,GPS1_Frame,42.313705,-71.09815833333333,42.7,327087.90408122365,4686739.307467267,19,T
1663939715.236702,0,48515,0,GPS1_Frame,42.31371666666667,-71.09816666666667,42.5,327087.24924157513,4686740.619896234,19,T
1663939716.2558448,0,48516,0,GPS1_Frame,42.31373,-71.09817666666666,42.5,327086.46160856204,4686742.120783056,19,T
1663939717.237376,0,48517,0,GPS1_Frame,42.313741666666665,-71.098185,42.4,327085.8067694799,4686743.433212179,19,T
1663939718.2359142,0,48518,0,GPS1_Frame,42.31375500000001,-71.09819333333333,42.3,327085.15649514727,4686744.93071145,19,T
1663939719.2576284,0,48519,0,GPS1_Frame,42.313768333333336,-71.09819833333333,42.2,327084.7809370916,4686746.421435289,19,T
1663939720.2575917,0,48520,0,GPS1_Frame,42.313779999999994,-71.09820500000001,42.1,327084.26345674327,4686747.730476838,19,T
1663939721.2557817,0,48521,0,GPS1_Frame,42.31379333333333,-71.09821166666667,41.9,327083.7505411393,4686749.2245885115,19,T
1663939722.2368371,0,48522,0,GPS1_Frame,42.31380333333333,-71.09822000000001,41.8,327083.09113876673,4686750.351947857,19,T
1663939723.3142729,0,48523,0,GPS1_Frame,42.313813333333336,-71.09822833333332,41.6,327082.431736619,4686751.479307273,19,T
1663939724.2357152,0,48524,0,GPS1_Frame,42.313824999999994,-71.09823833333333,41.5,327081.6395414132,4686752.795124648,19,T
1663939725.2354763,0,48525,0,GPS1_Frame,42.313835000000005,-71.09824666666667,41.4,327080.9801397496,4686753.922484219,19,T
1663939726.2356036,0,48526,0,GPS1_Frame,42.31384500000001,-71.09825500000001,41.3,327080.3207383065,4686755.049843861,19,T
1663939727.2573094,0,48527,0,GPS1_Frame,42.313858333333336,-71.09826333333334,41.4,327079.67046639055,4686756.547343732,19,T
1663939728.2576513,0,48528,0,GPS1_Frame,42.313865,-71.09827166666668,41.4,327079.00193609257,4686757.304563352,19,T
1663939729.2562711,0,48529,0,GPS1_Frame,42.31386333333333,-71.09828833333333,41.4,327077.62379358953,4686757.1533720745,19,T
1663939730.2554402,0,48530,0,GPS1_Frame,42.31386166666666,-71.09830333333333,41.4,327076.38300880126,4686756.9987931475,19,T
1663939731.2357092,0,48531,0,GPS1_Frame,42.313860000000005,-71.09831666666668,41.2,327075.2795817347,4686756.840826499,19,T
1663939732.236995,0,48532,0,GPS1_Frame,42.313856666666666,-71.09833333333333,40.9,327073.89687421883,4686756.5045658685,19,T
1663939733.2581015,0,48533,0,GPS1_Frame,42.313855,-71.09835,40.5,327072.5187313957,4686756.353375587,19,T
1663939734.2367964,0,48534,0,GPS1_Frame,42.31385333333333,-71.098365,40.1,327071.27794630587,4686756.198797557,19,T
1663939735.2580369,0,48535,0,GPS1_Frame,42.31385166666667,-71.09837999999999,39.8,327070.0371611477,4686756.044219743,19,T
1663939736.25671,0,48536,0,GPS1_Frame,42.31385166666667,-71.09839333333333,39.6,327068.93829867046,4686756.071324164,19,T
1663939737.2579422,0,48537,0,GPS1_Frame,42.31385166666667,-71.09840833333332,39.7,327067.7020783834,4686756.101816844,19,T
1663939738.2363226,0,48538,0,GPS1_Frame,42.313855,-71.09842166666667,39.8,327066.61234589166,4686756.499061794,19,T
1663939739.2361345,0,48539,0,GPS1_Frame,42.313856666666666,-71.09843500000001,39.9,327065.51804849156,4686756.711236837,19,T
1663939740.2357287,0,48540,0,GPS1_Frame,42.31386166666666,-71.09844833333334,39.8,327064.4328812576,4686757.293552215,19,T
1663939741.2360022,0,48541,0,GPS1_Frame,42.313868333333325,-71.09846166666667,39.7,327063.35227928136,4686758.06093785,19,T
1663939742.2346356,0,48542,0,GPS1_Frame,42.31387333333334,-71.098475,39.8,327062.2671124262,4686758.64325358,19,T
1663939743.2360375,0,48543,0,GPS1_Frame,42.313880000000005,-71.098485,39.8,327061.4612263838,4686759.403863133,19,T
1663939744.2355018,0,48544,0,GPS1_Frame,42.31388833333334,-71.098495,39.8,327060.65990567696,4686760.349542869,19,T
1663939745.2364573,0,48545,0,GPS1_Frame,42.31389666666667,-71.09850499999999,39.8,327059.8585851911,4686761.295222703,19,T
1663939746.2366488,0,48546,0,GPS1_Frame,42.313903333333336,-71.09851499999999,39.7,327059.05269972153,4686762.055832555,19,T
